created_date,borough,channel,complaint_type,response_time_days
2024-08-30,Bronx,Web,Street Condition,9.52
2024-06-21,Manhattan,Web,Rodents,2.09
2024-09-14,Staten Island,Web,Heat/Hot Water,4.08
2024-04-11,Queens,Web,Illegal Parking,3.63
2024-10-11,Queens,Web,Plumbing,2.37
2024-07-21,Manhattan,Web,Noise,0.91
2024-06-16,Bronx,App,Rodents,9.9
2024-07-03,Manhattan,Web,Street Condition,6.5
2024-07-26,Brooklyn,Phone,Street Condition,7.23
2024-01-14,Manhattan,Web,Illegal Parking,3.1
2024-02-21,Queens,Web,Illegal Parking,17.8
2024-03-30,Manhattan,Phone,Noise,1.9
2024-02-11,Bronx,Web,Rodents,8.05
2024-06-09,Queens,App,Illegal Parking,9.83
2024-08-31,Manhattan,Web,Rodents,1.21
2024-08-26,Manhattan,App,Street Condition,5.22
2024-06-20,Manhattan,Web,Illegal Parking,10.35
2024-11-08,Queens,Web,Street Condition,4.54
2024-07-25,Bronx,Web,Rodents,7.52
2024-01-29,Brooklyn,App,Plumbing,3.09
2024-10-06,Bronx,Web,Rodents,9.44
2024-07-28,Manhattan,Web,Illegal Parking,1.68
2024-08-19,Bronx,Web,Plumbing,6.32
2024-07-25,Bronx,Web,Street Condition,1.58
2024-07-21,Queens,Web,Street Condition,0.16
2024-02-03,Queens,Web,Plumbing,3.09
2024-07-23,Bronx,App,Noise,4.43
2024-10-17,Manhattan,Web,Plumbing,2.41
2024-04-20,Manhattan,Web,Noise,5.62
2024-08-08,Manhattan,Web,Illegal Parking,6.62
2024-01-12,Brooklyn,Web,Street Condition,6.75
2024-05-06,Queens,Web,Street Condition,7.35
2024-06-08,Queens,Phone,Street Condition,2.38
2024-12-24,Bronx,Phone,Street Condition,2.74
2024-03-19,Manhattan,Web,Street Condition,4.79
2024-04-10,Queens,Web,Street Condition,1.64
2024-05-29,Manhattan,Web,Illegal Parking,1.06
2024-12-28,Brooklyn,Phone,Plumbing,28.43
2024-11-07,Queens,Web,Illegal Parking,4.77
2024-01-13,Staten Island,Phone,Illegal Parking,3.32
2024-03-26,Queens,Web,Rodents,2.76
2024-10-26,Manhattan,App,Rodents,0.82
2024-01-22,Queens,Phone,Noise,5.62
2024-11-08,Manhattan,Web,Plumbing,2.6
2024-04-12,Bronx,Phone,Heat/Hot Water,12.99
2024-11-30,Queens,Phone,Heat/Hot Water,6.73
2024-04-17,Manhattan,Phone,Plumbing,2.53
2024-06-07,Manhattan,Phone,Noise,0.39
2024-08-29,Manhattan,Web,Rodents,3.48
2024-02-16,Staten Island,App,Plumbing,4.87
2024-07-22,Brooklyn,Phone,Rodents,0.47
2024-07-03,Bronx,Web,Plumbing,8.99
2024-10-13,Queens,Web,Rodents,1.58
2024-12-29,Queens,App,Noise,9.25
2024-08-30,Manhattan,Web,Rodents,3.1
2024-05-29,Staten Island,Phone,Noise,2.94
2024-05-28,Brooklyn,Web,Heat/Hot Water,6.28
2024-06-01,Queens,Web,Noise,5.07
2024-10-24,Queens,App,Street Condition,4.93
2024-04-27,Queens,Web,Plumbing,8.43
2024-03-01,Staten Island,Web,Heat/Hot Water,6.06
2024-05-02,Manhattan,Phone,Plumbing,1.81
2024-01-09,Brooklyn,Web,Illegal Parking,4.33
2024-02-08,Brooklyn,App,Illegal Parking,13.68
2024-02-02,Brooklyn,Web,Rodents,2.72
2024-10-08,Manhattan,Web,Street Condition,4.45
2024-09-20,Manhattan,App,Street Condition,6.28
2024-09-11,Brooklyn,App,Rodents,7.74
2024-06-17,Brooklyn,Web,Illegal Parking,5.68
2024-09-18,Brooklyn,Web,Illegal Parking,6.37
2024-02-28,Queens,Web,Heat/Hot Water,6.85
2024-11-24,Queens,Web,Heat/Hot Water,2.27
2024-07-01,Brooklyn,Web,Heat/Hot Water,5.3
2024-12-08,Brooklyn,Phone,Heat/Hot Water,20.96
2024-02-25,Manhattan,App,Heat/Hot Water,4.54
2024-06-30,Queens,App,Plumbing,4.94
2024-09-11,Brooklyn,Web,Noise,3.98
2024-06-29,Manhattan,App,Illegal Parking,1.66
2024-06-11,Brooklyn,Web,Rodents,6.53
2024-03-01,Brooklyn,Web,Plumbing,6.86
2024-05-19,Brooklyn,Web,Street Condition,5.03
2024-03-28,Queens,Web,Noise,22.44
2024-04-20,Queens,Web,Rodents,2.48
2024-09-06,Queens,Phone,Noise,1.98
2024-08-18,Queens,Web,Plumbing,3.41
2024-08-09,Queens,Phone,Plumbing,4.37
2024-05-12,Brooklyn,Phone,Heat/Hot Water,2.59
2024-12-16,Bronx,Web,Plumbing,7.89
2024-02-01,Queens,Web,Heat/Hot Water,5.86
2024-05-05,Brooklyn,Phone,Heat/Hot Water,8.79
2024-02-13,Queens,Web,Plumbing,2.97
2024-05-03,Brooklyn,App,Rodents,12.91
2024-12-17,Brooklyn,Phone,Heat/Hot Water,8.37
2024-05-13,Queens,Phone,Rodents,2.43
2024-11-27,Bronx,Web,Rodents,3.17
2024-06-29,Bronx,Web,Plumbing,5.23
2024-09-12,Brooklyn,Web,Noise,6.94
2024-06-15,Queens,Phone,Heat/Hot Water,6.51
2024-04-07,Bronx,Web,Plumbing,10.29
2024-10-05,Brooklyn,Phone,Rodents,20.08
2024-12-19,Bronx,Web,Plumbing,1.12
2024-04-06,Brooklyn,App,Street Condition,4.93
2024-10-11,Manhattan,Phone,Heat/Hot Water,11.69
2024-04-05,Manhattan,Phone,Rodents,5.58
2024-09-18,Bronx,Web,Heat/Hot Water,2.72
2024-10-14,Manhattan,Web,Street Condition,3.8
2024-06-13,Brooklyn,App,Rodents,4.69
2024-09-25,Brooklyn,App,Illegal Parking,4.56
2024-04-09,Manhattan,Phone,Heat/Hot Water,2.13
2024-01-29,Brooklyn,Phone,Noise,5.81
2024-02-05,Queens,Web,Street Condition,9.59
2024-06-12,Manhattan,Phone,Rodents,2.29
2024-11-25,Bronx,App,Street Condition,10.35
2024-02-16,Bronx,Web,Plumbing,11.63
2024-06-15,Brooklyn,Phone,Heat/Hot Water,12.84
2024-09-13,Manhattan,Web,Plumbing,1.56
2024-03-14,Queens,Phone,Plumbing,4.62
2024-09-20,Manhattan,Web,Illegal Parking,1.92
2024-04-21,Brooklyn,Web,Plumbing,5.81
2024-10-22,Staten Island,Web,Illegal Parking,5.34
2024-07-30,Staten Island,Web,Street Condition,1.84
2024-07-18,Queens,Web,Plumbing,5.14
2024-03-05,Brooklyn,App,Rodents,20.74
2024-06-18,Queens,App,Rodents,6.53
2024-11-08,Queens,Web,Heat/Hot Water,1.36
2024-01-08,Brooklyn,Phone,Plumbing,2.39
2024-10-03,Queens,Web,Noise,4.44
2024-06-28,Manhattan,App,Illegal Parking,1.5
2024-09-19,Manhattan,Web,Illegal Parking,7.62
2024-08-30,Queens,Web,Street Condition,1.2
2024-06-06,Manhattan,Web,Rodents,4.78
2024-04-22,Manhattan,Phone,Rodents,0.69
2024-08-16,Bronx,Web,Noise,6.38
2024-02-21,Staten Island,Web,Heat/Hot Water,1.97
2024-08-01,Queens,Web,Heat/Hot Water,7.43
2024-02-04,Bronx,Web,Rodents,13.55
2024-08-25,Staten Island,Web,Illegal Parking,6.4
2024-08-17,Manhattan,Web,Plumbing,6.99
2024-01-31,Brooklyn,Web,Plumbing,0.31
2024-10-03,Brooklyn,Web,Plumbing,6.02
2024-05-31,Manhattan,Web,Noise,4.73
2024-10-14,Queens,Web,Noise,7.11
2024-01-16,Brooklyn,App,Street Condition,7.36
2024-03-06,Brooklyn,Phone,Street Condition,8.52
2024-06-29,Manhattan,App,Plumbing,3.67
2024-03-09,Manhattan,Phone,Noise,1.0
2024-04-30,Bronx,Phone,Street Condition,4.22
2024-08-29,Manhattan,Web,Heat/Hot Water,7.65
2024-02-22,Brooklyn,Phone,Heat/Hot Water,11.5
2024-09-04,Brooklyn,Phone,Heat/Hot Water,7.58
2024-02-07,Brooklyn,Phone,Heat/Hot Water,8.9
2024-03-04,Queens,Web,Illegal Parking,8.97
2024-08-02,Brooklyn,Web,Street Condition,7.51
2024-10-16,Manhattan,Phone,Street Condition,7.5
2024-03-03,Brooklyn,Web,Street Condition,11.92
2024-04-19,Bronx,Web,Plumbing,30.74
2024-12-03,Queens,Phone,Rodents,3.0
2024-12-27,Queens,Phone,Illegal Parking,3.06
2024-07-31,Queens,App,Illegal Parking,6.03
2024-06-12,Queens,Web,Plumbing,15.46
2024-05-06,Manhattan,Web,Plumbing,7.9
2024-08-11,Brooklyn,Web,Noise,9.67
2024-08-03,Queens,Phone,Rodents,11.36
2024-04-17,Brooklyn,Web,Noise,7.77
2024-01-09,Bronx,Web,Street Condition,5.28
2024-02-25,Brooklyn,Phone,Illegal Parking,21.24
2024-12-15,Queens,Web,Street Condition,6.24
2024-06-01,Bronx,Web,Heat/Hot Water,14.46
2024-06-25,Brooklyn,Web,Rodents,0.31
2024-06-19,Bronx,Web,Noise,0.51
2024-10-12,Queens,Web,Heat/Hot Water,5.21
2024-01-24,Bronx,Phone,Rodents,3.01
2024-01-31,Brooklyn,Phone,Plumbing,6.59
2024-04-10,Brooklyn,Web,Noise,3.6
2024-06-26,Queens,Phone,Plumbing,23.1
2024-09-01,Manhattan,Phone,Rodents,6.84
2024-06-28,Brooklyn,Phone,Noise,14.3
2024-06-10,Bronx,Phone,Street Condition,0.69
2024-12-08,Queens,Web,Street Condition,8.11
2024-02-28,Manhattan,Web,Noise,2.9
2024-07-27,Brooklyn,App,Heat/Hot Water,14.48
2024-07-16,Manhattan,Phone,Heat/Hot Water,5.31
2024-06-21,Manhattan,Web,Heat/Hot Water,3.24
2024-10-21,Bronx,Web,Street Condition,2.22
2024-04-07,Brooklyn,Web,Street Condition,6.07
2024-12-14,Brooklyn,App,Heat/Hot Water,12.23
2024-05-01,Queens,App,Heat/Hot Water,12.73
2024-07-17,Manhattan,App,Heat/Hot Water,2.5
2024-07-09,Brooklyn,Phone,Plumbing,24.49
2024-11-06,Queens,Phone,Heat/Hot Water,9.81
2024-06-09,Queens,Web,Rodents,2.11
2024-04-13,Staten Island,Phone,Illegal Parking,1.84
2024-01-08,Queens,Web,Plumbing,4.19
2024-05-12,Brooklyn,Web,Illegal Parking,4.06
2024-10-28,Queens,Web,Heat/Hot Water,6.62
2024-01-04,Bronx,Web,Illegal Parking,6.9
2024-11-23,Queens,Web,Heat/Hot Water,3.67
2024-07-17,Staten Island,Phone,Noise,1.1
2024-02-21,Bronx,Phone,Heat/Hot Water,10.86
2024-04-20,Bronx,Web,Heat/Hot Water,1.33
2024-07-21,Manhattan,Web,Noise,7.15
2024-04-25,Queens,Phone,Noise,0.55
2024-02-09,Brooklyn,Web,Rodents,1.01
2024-08-31,Queens,Web,Illegal Parking,2.1
2024-09-02,Queens,Web,Street Condition,3.19
2024-02-13,Staten Island,Web,Rodents,2.89
2024-04-12,Staten Island,Web,Heat/Hot Water,3.47
2024-03-30,Brooklyn,Phone,Street Condition,6.68
2024-08-28,Queens,Web,Rodents,2.14
2024-09-23,Queens,Web,Illegal Parking,5.7
2024-09-22,Brooklyn,Web,Street Condition,0.31
2024-12-08,Manhattan,Web,Heat/Hot Water,1.5
2024-10-07,Manhattan,Phone,Noise,0.58
2024-04-27,Queens,Phone,Noise,9.76
2024-02-09,Brooklyn,Phone,Noise,2.86
2024-08-12,Staten Island,App,Plumbing,7.79
2024-11-30,Brooklyn,Web,Illegal Parking,0.75
2024-12-21,Staten Island,Phone,Street Condition,13.73
2024-03-25,Brooklyn,App,Plumbing,5.85
2024-03-27,Bronx,Web,Noise,6.58
2024-01-14,Manhattan,Web,Heat/Hot Water,0.74
2024-02-21,Queens,App,Street Condition,1.84
2024-07-21,Bronx,Phone,Rodents,5.49
2024-07-18,Bronx,Phone,Illegal Parking,2.77
2024-05-15,Bronx,Web,Rodents,13.25
2024-04-23,Manhattan,Phone,Heat/Hot Water,3.52
2024-10-29,Brooklyn,Web,Rodents,2.28
2024-06-16,Manhattan,Phone,Noise,5.93
2024-10-22,Manhattan,Phone,Heat/Hot Water,2.46
2024-12-17,Queens,Phone,Illegal Parking,7.89
2024-04-25,Queens,Web,Noise,2.94
2024-03-14,Queens,Phone,Rodents,6.79
2024-12-13,Bronx,Phone,Rodents,4.77
2024-08-19,Queens,App,Illegal Parking,9.11
2024-04-16,Bronx,Web,Heat/Hot Water,0.96
2024-08-14,Manhattan,Web,Noise,1.02
2024-07-06,Brooklyn,Phone,Illegal Parking,4.8
2024-11-26,Queens,Web,Illegal Parking,2.52
2024-04-03,Bronx,Phone,Plumbing,4.64
2024-12-27,Manhattan,Web,Illegal Parking,5.35
2024-12-07,Brooklyn,Phone,Noise,3.7
2024-03-06,Queens,App,Noise,5.85
2024-03-01,Manhattan,App,Plumbing,1.5
2024-07-13,Brooklyn,Phone,Noise,0.59
2024-01-17,Bronx,Phone,Rodents,11.42
2024-04-19,Queens,Phone,Noise,14.53
2024-06-07,Brooklyn,Web,Plumbing,6.38
2024-12-19,Bronx,Phone,Rodents,6.16
2024-12-28,Brooklyn,App,Street Condition,5.88
2024-02-25,Bronx,Web,Noise,16.61
2024-11-21,Brooklyn,Web,Rodents,6.44
2024-02-03,Queens,Web,Heat/Hot Water,8.13
2024-09-30,Brooklyn,App,Illegal Parking,9.31
2024-11-04,Brooklyn,Phone,Rodents,11.4
2024-11-21,Bronx,Web,Plumbing,6.05
2024-03-22,Manhattan,Web,Noise,2.11
2024-11-22,Manhattan,App,Plumbing,4.98
2024-02-12,Brooklyn,Web,Noise,10.84
2024-07-08,Queens,Web,Plumbing,10.41
2024-06-20,Bronx,Phone,Illegal Parking,18.02
2024-04-25,Staten Island,App,Heat/Hot Water,9.38
2024-01-09,Brooklyn,Web,Street Condition,3.26
2024-10-08,Brooklyn,Web,Noise,6.37
2024-05-02,Manhattan,App,Rodents,3.66
2024-08-29,Queens,Web,Heat/Hot Water,4.62
2024-05-29,Staten Island,Web,Heat/Hot Water,7.48
2024-05-16,Queens,Web,Illegal Parking,3.86
2024-11-19,Queens,Phone,Plumbing,3.86
2024-02-04,Brooklyn,Web,Illegal Parking,17.88
2024-09-25,Bronx,Phone,Illegal Parking,6.3
2024-09-29,Brooklyn,Phone,Illegal Parking,11.35
2024-05-18,Manhattan,App,Rodents,7.26
2024-04-05,Brooklyn,Web,Street Condition,6.51
2024-01-02,Manhattan,Web,Plumbing,2.9
2024-12-07,Manhattan,Web,Plumbing,1.55
2024-12-11,Manhattan,Web,Rodents,0.66
2024-03-28,Brooklyn,Web,Rodents,8.52
2024-01-12,Queens,App,Plumbing,6.19
2024-02-14,Brooklyn,App,Heat/Hot Water,9.44
2024-01-25,Brooklyn,Web,Plumbing,3.61
2024-10-30,Staten Island,Web,Plumbing,17.62
2024-11-21,Queens,Web,Heat/Hot Water,6.6
2024-02-25,Queens,Web,Plumbing,4.21
2024-09-29,Brooklyn,Web,Heat/Hot Water,0.53
2024-03-06,Bronx,Web,Illegal Parking,4.9
2024-05-14,Brooklyn,Web,Plumbing,9.76
2024-08-06,Brooklyn,Web,Heat/Hot Water,14.38
2024-09-19,Bronx,Web,Street Condition,6.91
2024-11-15,Queens,Web,Plumbing,13.53
2024-01-17,Queens,Phone,Street Condition,1.99
2024-03-12,Queens,Phone,Rodents,6.32
2024-04-12,Queens,Web,Noise,6.46
2024-04-23,Brooklyn,Web,Plumbing,8.57
2024-12-30,Brooklyn,Phone,Plumbing,6.23
2024-10-10,Brooklyn,Web,Rodents,7.18
2024-04-26,Manhattan,Web,Noise,1.42
2024-12-20,Bronx,Phone,Rodents,16.56
2024-07-01,Brooklyn,Web,Street Condition,10.58
2024-07-01,Queens,App,Street Condition,5.9
2024-06-07,Bronx,Web,Street Condition,13.23
2024-02-22,Bronx,Web,Illegal Parking,16.93
2024-12-07,Brooklyn,Phone,Illegal Parking,8.48
2024-01-06,Brooklyn,App,Street Condition,20.46
2024-03-04,Staten Island,Web,Noise,8.3
2024-03-24,Queens,App,Rodents,2.24
2024-04-11,Bronx,Web,Heat/Hot Water,8.26
2024-02-18,Bronx,Phone,Noise,13.6
2024-01-07,Bronx,Phone,Illegal Parking,16.93
2024-09-04,Manhattan,Web,Street Condition,3.89
2024-12-19,Queens,Web,Illegal Parking,2.08
2024-02-14,Manhattan,Phone,Rodents,2.85
2024-04-18,Queens,Web,Noise,1.3
2024-07-03,Staten Island,App,Heat/Hot Water,8.92
2024-12-04,Brooklyn,Web,Illegal Parking,3.93
2024-09-10,Brooklyn,Web,Plumbing,3.04
2024-10-06,Manhattan,Phone,Illegal Parking,6.36
2024-07-31,Staten Island,Web,Street Condition,14.56
2024-06-01,Manhattan,Web,Illegal Parking,1.86
2024-03-13,Manhattan,App,Rodents,3.91
2024-11-11,Brooklyn,Web,Street Condition,4.8
2024-10-20,Manhattan,Web,Rodents,8.74
2024-01-10,Brooklyn,Phone,Plumbing,5.24
2024-09-18,Brooklyn,Phone,Heat/Hot Water,2.25
2024-01-31,Brooklyn,Web,Heat/Hot Water,5.43
2024-09-26,Manhattan,Web,Plumbing,7.52
2024-10-28,Manhattan,Web,Heat/Hot Water,2.81
2024-02-17,Brooklyn,App,Street Condition,3.32
2024-06-07,Manhattan,App,Heat/Hot Water,3.11
2024-02-15,Queens,App,Illegal Parking,1.96
2024-07-26,Manhattan,Phone,Heat/Hot Water,2.94
2024-12-04,Brooklyn,Web,Illegal Parking,3.54
2024-01-30,Brooklyn,App,Rodents,22.93
2024-05-25,Brooklyn,Web,Plumbing,0.72
2024-12-21,Manhattan,Phone,Rodents,1.62
2024-04-19,Manhattan,Web,Noise,2.04
2024-02-18,Bronx,Web,Street Condition,2.86
2024-06-27,Manhattan,Web,Heat/Hot Water,4.63
2024-07-04,Brooklyn,App,Rodents,2.98
2024-08-29,Brooklyn,Web,Plumbing,1.37
2024-04-24,Brooklyn,Web,Heat/Hot Water,5.93
2024-12-14,Brooklyn,Web,Illegal Parking,4.36
2024-07-09,Bronx,Web,Illegal Parking,3.82
2024-04-14,Bronx,Phone,Street Condition,17.17
2024-12-16,Brooklyn,Web,Street Condition,7.72
2024-12-03,Brooklyn,Web,Noise,7.1
2024-07-01,Brooklyn,Phone,Street Condition,7.84
2024-01-10,Brooklyn,Web,Street Condition,7.55
2024-08-05,Queens,App,Plumbing,3.84
2024-07-21,Brooklyn,Phone,Rodents,3.0
2024-02-24,Brooklyn,Web,Plumbing,6.03
2024-08-19,Staten Island,Web,Noise,4.13
2024-11-02,Manhattan,Web,Rodents,0.43
2024-02-08,Brooklyn,Phone,Street Condition,2.13
2024-09-21,Queens,Web,Street Condition,3.4
2024-02-21,Manhattan,Web,Rodents,6.46
2024-09-30,Manhattan,Web,Rodents,3.72
2024-06-01,Manhattan,Phone,Noise,1.57
2024-01-03,Bronx,Web,Street Condition,2.42
2024-12-18,Manhattan,Web,Plumbing,7.43
2024-03-01,Manhattan,Phone,Illegal Parking,2.9
2024-08-05,Manhattan,Phone,Heat/Hot Water,0.1
2024-03-07,Manhattan,Phone,Illegal Parking,3.05
2024-12-06,Queens,Web,Rodents,7.58
2024-09-26,Brooklyn,Phone,Heat/Hot Water,1.9
2024-10-20,Queens,App,Plumbing,4.83
2024-06-06,Queens,Web,Plumbing,5.18
2024-06-19,Bronx,Web,Rodents,2.48
2024-08-19,Manhattan,App,Heat/Hot Water,7.9
2024-10-13,Bronx,Phone,Heat/Hot Water,7.63
2024-11-05,Queens,Web,Illegal Parking,3.39
2024-01-07,Manhattan,App,Illegal Parking,2.91
2024-08-30,Queens,Web,Street Condition,1.4
2024-02-09,Bronx,Web,Plumbing,1.95
2024-04-15,Brooklyn,Web,Plumbing,3.7
2024-10-29,Bronx,Phone,Heat/Hot Water,4.8
2024-04-01,Brooklyn,Web,Plumbing,4.49
2024-10-17,Queens,App,Heat/Hot Water,11.52
2024-06-17,Staten Island,App,Street Condition,7.96
2024-03-25,Brooklyn,Phone,Noise,0.86
2024-05-01,Bronx,Web,Street Condition,14.62
2024-07-12,Brooklyn,Web,Rodents,3.68
2024-10-06,Bronx,App,Street Condition,11.34
2024-08-09,Queens,Phone,Plumbing,3.32
2024-12-06,Manhattan,App,Noise,3.64
2024-11-12,Brooklyn,Web,Illegal Parking,1.78
2024-10-01,Brooklyn,Phone,Street Condition,6.93
2024-08-08,Manhattan,Phone,Plumbing,6.13
2024-04-15,Manhattan,Web,Rodents,0.66
2024-05-30,Brooklyn,Phone,Illegal Parking,10.08
2024-02-13,Manhattan,Web,Noise,1.84
2024-05-16,Manhattan,App,Street Condition,10.22
2024-12-04,Queens,Web,Noise,7.9
2024-06-04,Queens,Web,Street Condition,6.95
2024-02-11,Queens,Web,Noise,4.03
2024-08-25,Brooklyn,Phone,Illegal Parking,25.7
2024-12-17,Bronx,App,Heat/Hot Water,4.54
2024-11-12,Queens,Web,Heat/Hot Water,1.85
2024-04-10,Manhattan,Phone,Noise,1.9
2024-06-14,Manhattan,Phone,Rodents,6.91
2024-07-12,Queens,App,Rodents,4.93
2024-03-31,Manhattan,Phone,Plumbing,3.19
2024-04-08,Brooklyn,App,Noise,3.74
2024-03-27,Staten Island,Web,Street Condition,4.6
2024-12-29,Manhattan,Web,Rodents,2.17
2024-09-29,Manhattan,App,Illegal Parking,5.4
2024-11-02,Staten Island,Web,Noise,4.07
2024-10-25,Queens,App,Noise,2.66
2024-12-16,Manhattan,Phone,Heat/Hot Water,6.52
2024-02-08,Bronx,Web,Rodents,2.77
2024-11-17,Bronx,Web,Heat/Hot Water,7.25
2024-01-25,Queens,Web,Rodents,0.59
2024-06-22,Queens,App,Plumbing,1.23
2024-08-04,Brooklyn,App,Rodents,4.03
2024-05-10,Manhattan,Web,Plumbing,2.14
2024-02-23,Queens,Web,Heat/Hot Water,2.94
2024-03-11,Brooklyn,Web,Plumbing,9.39
2024-10-28,Queens,Web,Heat/Hot Water,8.27
2024-04-26,Bronx,Web,Heat/Hot Water,8.34
2024-04-23,Manhattan,Web,Heat/Hot Water,1.32
2024-12-03,Queens,Phone,Noise,4.18
2024-02-22,Brooklyn,Phone,Noise,18.17
2024-11-30,Bronx,Web,Heat/Hot Water,29.62
